Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Parent,Parent summary,Status Category
Generate syllable rules,PAR-39,10038,Story,To Do,PAR,Parlance,software,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,Medium,,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,09/Jan/23 5:28 PM,09/Jan/23 5:45 PM,10/Jan/23 2:55 PM,,,0,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,,,,,,,,,,0|i00087:,PAR Sprint 4,,3.0,10043,Core Feature,To Do
Generate phonotactics rules,PAR-38,10037,Story,To Do,PAR,Parlance,software,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,Medium,,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,09/Jan/23 5:26 PM,09/Jan/23 5:45 PM,10/Jan/23 2:54 PM,,,0,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,,,,,,,,,,0|i0007z:,PAR Sprint 4,,8.0,10043,Core Feature,To Do
Generate vowels in a more logical way and give different values different generation chances,PAR-36,10035,Task,To Do,PAR,Parlance,software,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,Medium,,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,05/Nov/22 5:20 PM,09/Jan/23 5:39 PM,10/Jan/23 2:55 PM,,,0,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,,,,,,,,,,0|i0009a:y,PAR Sprint 4,,3.0,10045,Core Fix,To Do
Move clearing vowels and consonants to store actions,PAR-35,10034,Bug,To Do,PAR,Parlance,software,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,Medium,,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,03/Nov/22 12:22 PM,09/Jan/23 5:39 PM,03/Nov/22 12:22 PM,,,0,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,,,,,,,,,,0|i0009a:x,PAR Sprint 4,,1.0,10045,Core Fix,To Do
Generate All button,PAR-34,10033,Task,To Do,PAR,Parlance,software,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,Medium,,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,03/Nov/22 12:10 PM,09/Jan/23 5:39 PM,09/Jan/23 5:32 PM,,,0,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,,,,,,,,,,0|i00097:,PAR Sprint 4,,1.0,10043,Core Feature,To Do
Host a demo website,PAR-31,10030,Story,To Do,PAR,Parlance,software,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,Medium,,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,03/Nov/22 10:28 AM,09/Jan/23 5:39 PM,21/Nov/22 7:03 PM,,,0,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,,,,,,,,,,0|i00099:,PAR Sprint 4,,8.0,10043,Core Feature,To Do
Vertical dividers on the consonant table don't extend all the way to the bottom,PAR-24,10023,Bug,To Do,PAR,Parlance,software,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,Medium,,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,31/Oct/22 10:14 PM,09/Jan/23 5:39 PM,10/Jan/23 2:55 PM,,,0,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,,,,,,,,,,0|i0009a:v,PAR Sprint 4,,1.0,10045,Core Fix,To Do
Table shouldn't resize column height when adding/removing sounds,PAR-23,10022,Bug,To Do,PAR,Parlance,software,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,Medium,,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,31/Oct/22 6:22 PM,09/Jan/23 5:39 PM,10/Jan/23 2:55 PM,,,0,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,,,,,,,,,,0|i0009a:r,PAR Sprint 4,,3.0,10045,Core Fix,To Do
Vowel table shouldn't stretch to the height of the Consonant table,PAR-22,10021,Bug,To Do,PAR,Parlance,software,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,Medium,,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,31/Oct/22 6:22 PM,09/Jan/23 5:39 PM,10/Jan/23 2:55 PM,,,0,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,,,,,,,,,,0|i0009a:i,PAR Sprint 4,,1.0,10045,Core Fix,To Do
Clicking on an IPA symbol while not editing shouldn't remove it,PAR-21,10020,Bug,To Do,PAR,Parlance,software,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,Medium,,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,31/Oct/22 6:21 PM,09/Jan/23 5:39 PM,10/Jan/23 2:54 PM,,,0,,,Javen Kazebee,557058:947c4c38-085c-402e-850b-c72f7973c896,,,,,,,,,,,0|i0009a:,PAR Sprint 4,,1.0,10045,Core Fix,To Do
